section,filename,function,address,end
init,init_128D0,func_10012F94,0x10012F94,0x100131D8
init,init_128D0,func_100131D8,0x100131D8,0x100131FC
init,init_128D0,func_100131FC,0x100131FC,0x10013320
init,n_csplayer,n_alCSPNew,0x10013320,0x10013598
init,n_csplayer,__n_CSPVoiceHandler,0x10013598,0x10014048
init,n_csplayer,__n_CSPHandleNextSeqEvent,0x10014048,0x1001415C
init,n_csplayer,__n_CSPHandleMIDIMsg,0x1001415C,0x10015310
init,n_csplayer,__n_CSPRepostEvent,0x10015310,0x10015464
init,n_csplayer,__n_setUsptFromTempo,0x10015464,0x100154AC
init,n_csplayer,__n_CSPPostNextSeqEvent,0x100154AC,0x10015550
init,init_15550,func_10015550,0x10015550,0x100155A0
init,init_15550,func_100155A0,0x100155A0,0x10015878
init,init_15550,func_10015878,0x10015878,0x10015944
init,init_15550,_n_handleEvent,0x10015944,0x10016E90
init,init_15550,func_10016E90,0x10016E90,0x10016F00
init,init_15550,func_10016F00,0x10016F00,0x10016F80
init,init_15550,func_10016F80,0x10016F80,0x10017100
init,init_15550,func_10017100,0x10017100,0x10017298
init,init_15550,func_10017298,0x10017298,0x100173C4
init,init_15550,func_100173C4,0x100173C4,0x10017438
init,init_15550,func_10017438,0x10017438,0x10017594
init,init_15550,func_10017594,0x10017594,0x10017604
init,init_15550,func_10017604,0x10017604,0x100176C4
init,init_15550,func_100176C4,0x100176C4,0x100176EC
init,init_15550,func_100176EC,0x100176EC,0x10017714
init,init_15550,func_10017714,0x10017714,0x10017780
init,init_15550,func_10017780,0x10017780,0x10017870
init,init_17870,func_10017870,0x10017870,0x10017944
init,init_17870,func_10017944,0x10017944,0x10017A80
init,n_cspgetstate,n_alCSPGetState,0x10017A80,0x10017AA0
init,code_17AA0,func_10017AA0,0x10017AA0,0x10017AF0
init,init_17AF0,func_10017AF0,0x10017AF0,0x10017B04
init,init_17AF0,func_10017B04,0x10017B04,0x10017B30
init,init_17AF0,func_10017B30,0x10017B30,0x10017BB8
init,init_17AF0,func_10017BB8,0x10017BB8,0x10017C00
init,init_17C00,func_10017C00,0x10017C00,0x10017C68
init,init_17C00,func_10017C68,0x10017C68,0x10017CE0
init,init_17C00,func_10017CE0,0x10017CE0,0x10017D30
init,init_17C00,func_10017D30,0x10017D30,0x10017D80
init,code_17D80,func_10017D80,0x10017D80,0x10017DF0
init,init_17DF0,func_10017DF0,0x10017DF0,0x10017E4C
init,init_17DF0,func_10017E4C,0x10017E4C,0x10017EC0
init,n_cspgettempo,n_alCSPGetTempo,0x10017EC0,0x10017F10
